Step,Training Loss,rewards / chosen,rewards / rejected,rewards / accuracies,rewards / margins,logps / rejected,logps / chosen,logits / rejected,logits / chosen
155,1.4491,-0.130281,-0.109225,0.5,-0.021056,-1.09225,-1.302807,9.552281,9.387041
156,1.6948,-0.133836,-0.099774,0.5,-0.034062,-0.997739,-1.338357,9.788739,9.211788
157,1.4469,-0.114775,-0.101981,0.625,-0.012794,-1.019811,-1.147746,9.708834,8.894812
158,1.7059,-0.142756,-0.095588,0.25,-0.047168,-0.955879,-1.427563,9.804149,9.072945
159,1.4478,-0.124678,-0.102595,0.5,-0.022084,-1.025946,-1.246785,9.682379,9.671623
160,1.8155,-0.1615,-0.113826,0.375,-0.047674,-1.138258,-1.615002,9.787461,9.451273
161,1.561,-0.141457,-0.111444,0.375,-0.030013,-1.114438,-1.414567,9.834365,9.338033
162,1.3884,-0.117545,-0.106287,0.5,-0.011258,-1.062874,-1.175451,9.738255,9.413042
163,1.4427,-0.131906,-0.113826,0.5,-0.01808,-1.138256,-1.319059,9.80865,9.42314
164,1.5523,-0.132635,-0.120649,0.5,-0.011986,-1.206491,-1.326347,9.790226,9.351057
165,1.1721,-0.103712,-0.100896,0.5,-0.002816,-1.008962,-1.037118,9.803206,9.155842
166,1.624,-0.154949,-0.107059,0.125,-0.04789,-1.070591,-1.549495,9.734152,9.417187
167,1.7958,-0.175578,-0.119913,0.25,-0.055665,-1.199126,-1.755778,9.851188,9.394186
168,1.3551,-0.114855,-0.099997,0.625,-0.014857,-0.999973,-1.148547,9.795742,8.825942
169,1.5327,-0.127592,-0.100054,0.375,-0.027539,-1.000539,-1.275924,9.607569,8.875826
170,1.4891,-0.137123,-0.107483,0.5,-0.02964,-1.074829,-1.371233,9.631962,9.388381
171,1.8115,-0.158797,-0.111894,0.125,-0.046903,-1.118941,-1.587972,9.889639,9.387696
172,1.1954,-0.100296,-0.102088,0.625,0.001792,-1.020877,-1.002962,9.643063,9.528943
173,1.4876,-0.113454,-0.106747,0.5,-0.006707,-1.06747,-1.134538,9.697959,9.230541
174,1.4654,-0.125262,-0.112204,0.375,-0.013057,-1.122041,-1.252616,9.621954,9.266274
175,2.0942,-0.171039,-0.124588,0.375,-0.046451,-1.24588,-1.710389,9.791473,9.489857
